Date,FamilyFriendly,Genre,Commentaires,Titre,URL,Vues,Suivant,Chaine,Abonnes,Id
2022-06-02,true,People & Blogs,-1,"Double victoire pour des soignants non vaccinés, leur avocat, Maître Tarek Koraïtem, s'explique",https://www.youtube.com/watch?v=c_4Ey8T_jeE,277177,"['https://www.youtube.com/watch?v=Auw_J4BZ-ns', 'https://www.youtube.com/watch?v=GESBkTA2Faw', 'https://www.youtube.com/watch?v=H2UzktwofJI']",Sud Radio,-1,https://www.youtube.com/watch?v=c_4Ey8T_jeE
2022-05-19,true,Film & Animation,145,Damon Albarn - Une histoire anglaise | ARTE,https://www.youtube.com/watch?v=H2UzktwofJI,80045,"['https://www.youtube.com/watch?v=23iEY6GiB84', 'https://www.youtube.com/watch?v=LmfCaHaEa34', 'https://www.youtube.com/watch?v=9wvQM6aGqZw']",ARTE,2440000,https://www.youtube.com/watch?v=H2UzktwofJI
2022-06-01,true,News & Politics,108,"Clément Viktorovitch : Une réforme des retraites, mais pour quoi faire ?",https://www.youtube.com/watch?v=LZb-A-9QpDo,24876,"['https://www.youtube.com/watch?v=FqURJqEk9Us', 'https://www.youtube.com/watch?v=kXh7WrzLTPU', 'https://www.youtube.com/watch?v=mogP5dTXVLQ']",franceinfo,-1,https://www.youtube.com/watch?v=LZb-A-9QpDo
2022-06-03,true,Comedy,18,"Cumul fête juive et Pentecôte, match France-Danemark et fausses brèves - Le Journal de 17h17",https://www.youtube.com/watch?v=T7NL_y2khHk,10897,"['https://www.youtube.com/watch?v=_ho0RVEYE4o', 'https://www.youtube.com/watch?v=kXh7WrzLTPU', 'https://www.youtube.com/watch?v=zpKo5GHmAIM']",France Inter,-1,https://www.youtube.com/watch?v=T7NL_y2khHk
2022-05-31,true,News & Politics,38,Clément Viktorovitch : la rhétorique de l’impopularité,https://www.youtube.com/watch?v=FqURJqEk9Us,24744,"['https://www.youtube.com/watch?v=LZb-A-9QpDo', 'https://www.youtube.com/watch?v=kXh7WrzLTPU', 'https://www.youtube.com/watch?v=oNs0sxkXIAY']",franceinfo,-1,https://www.youtube.com/watch?v=FqURJqEk9Us
2022-06-03,true,News & Politics,-1,Macron veut détruire notre système scolaire,https://www.youtube.com/watch?v=b2c7zbKoows,79067,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=Gwougz56s-s', 'https://www.youtube.com/watch?v=ZaEJIvFBr3k']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=b2c7zbKoows
2022-06-02,true,People & Blogs,-1,"Double victoire pour des soignants non vaccinés, leur avocat, Maître Tarek Koraïtem, s'explique",https://www.youtube.com/watch?v=c_4Ey8T_jeE,277177,"['https://www.youtube.com/watch?v=Auw_J4BZ-ns', 'https://www.youtube.com/watch?v=H2UzktwofJI', 'https://www.youtube.com/watch?v=tGVTyPqzGq4']",Sud Radio,-1,https://www.youtube.com/watch?v=c_4Ey8T_jeE
2022-05-30,true,News & Politics,547,Lancement du Parlement de la Nouvelle Union Populaire écologique et sociale,https://www.youtube.com/watch?v=CWR8J3-LYmw,100496,"['https://www.youtube.com/watch?v=97HEOMSHl_I', 'https://www.youtube.com/watch?v=Go9fHwIEgag', 'https://www.youtube.com/watch?v=R7hIs-0pQ2o']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=CWR8J3-LYmw
2022-06-01,true,News & Politics,730,"<span dir=""auto"" class=""style-scope yt-formatted-string"">Meeting de la Nouvelle Union Populaire Écologique et Sociale à Paris - </span><a class=""yt-simple-endpoint style-scope yt-formatted-string"" spellcheck=""false"" href=""/hashtag/nupesparis"" dir=""auto"">#NupesParis</a>",https://www.youtube.com/watch?v=97HEOMSHl_I,129967,"['https://www.youtube.com/watch?v=b2c7zbKoows', 'https://www.youtube.com/watch?v=sT6qeNbmHB8', 'https://www.youtube.com/watch?v=hHmy3gZqNSI']",JEAN-LUC MÉLENCHON,-1,https://www.youtube.com/watch?v=97HEOMSHl_I
2022-06-02,true,News & Politics,202,Erreur d'encodage,https://www.youtube.com/watch?v=Gwougz56s-s,46042,"['https://www.youtube.com/watch?v=FqURJqEk9Us', 'https://www.youtube.com/watch?v=LipYLwQZlWs', 'https://www.youtube.com/watch?v=LZb-A-9QpDo']",franceinfo,-1,https://www.youtube.com/watch?v=Gwougz56s-s
